,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
59985,49003960100,49,003,960100,2712,2511,782,634,148,1357,88,10,5,6,78,0,0,0,790,49,26,41,97,58,53,42,72,31,116,99,63,37,6,0,0,42713,471,106600
59986,49003960200,49,003,960200,6037,5567,1810,1551,259,3112,265,54,2,6,165,27,21,0,1806,87,97,75,102,126,125,186,143,121,231,238,177,68,10,8,12,43603,499,114400
59987,49003960300,49,003,960300,6223,5493,1876,1455,421,3162,200,62,14,2,149,19,1,0,1876,121,73,129,100,89,184,100,142,116,217,238,207,93,48,11,8,45000,471,113500
59988,49003960400,49,003,960400,4521,4199,1336,1159,177,2402,141,31,4,7,124,7,0,2,1340,43,61,57,93,61,96,99,105,69,188,219,164,43,26,6,10,48542,523,119500
59989,49003960500,49,003,960500,4567,3976,1474,1021,453,2432,246,44,16,15,149,28,16,0,1480,86,108,100,98,95,107,107,175,95,155,167,137,27,11,12,0,41393,476,109300
59990,49003960600,49,003,960600,6543,5968,2017,1634,383,3669,389,167,12,15,329,63,8,22,2039,133,108,95,150,144,120,98,166,108,310,264,216,62,38,19,8,45417,513,118600
59991,49003960701,49,003,960701,4396,3911,1335,1107,228,2336,204,65,18,8,125,21,0,5,1304,60,67,78,74,69,126,108,62,81,112,194,218,26,20,9,0,45526,594,112600
59992,49003960702,49,003,960702,2225,1874,778,446,332,1198,139,56,0,0,102,0,9,0,826,74,17,52,91,43,102,40,89,28,101,97,57,27,8,0,0,39500,510,116700
59993,49003960801,49,003,960801,3191,2995,998,868,130,1765,124,40,16,6,87,25,5,2,1001,39,62,31,36,68,79,54,65,44,138,153,124,74,16,14,4,51148,542,132800
59994,49003960802,49,003,960802,2330,2223,738,669,69,1333,161,59,18,13,94,22,2,2,749,18,16,18,29,39,48,49,51,53,87,131,119,50,12,20,9,54938,565,158000
60024,49011125102,49,011,125102,3984,3771,1102,991,111,2198,375,144,55,10,269,60,6,0,1108,6,24,28,0,23,46,41,31,44,71,174,279,101,77,61,102,82241,713,243800
60025,49011125103,49,011,125103,3174,2920,940,842,98,1706,174,43,8,18,182,20,0,0,937,15,42,70,24,59,33,84,35,69,97,185,74,68,45,26,11,53047,757,138900
60026,49011125104,49,011,125104,4677,4289,1150,1102,48,2229,298,93,59,0,296,61,15,0,1156,9,7,12,14,25,38,14,41,38,92,156,329,274,54,36,17,80341,736,184900
60027,49011125200,49,011,125200,4785,3530,1158,7,1151,2029,146,108,12,0,221,55,6,0,1165,19,18,89,124,128,148,181,101,100,83,89,50,17,13,5,0,36273,645,162500
60028,49011125301,49,011,125301,5195,4278,1781,1324,457,3016,185,35,5,0,70,5,9,0,1772,96,86,80,118,142,157,166,137,144,213,153,187,63,19,6,5,41627,582,102500
60029,49011125303,49,011,125303,4767,4327,1328,1252,76,2308,251,63,12,0,123,26,9,0,1331,8,9,27,43,46,84,109,76,131,263,257,182,45,24,18,9,53048,864,138600
60030,49011125304,49,011,125304,4497,3937,1249,1148,101,2353,162,76,18,8,125,14,0,0,1256,13,21,28,36,55,57,99,108,109,232,262,194,33,0,0,9,53955,789,124300
60031,49011125305,49,011,125305,4271,3622,1177,1042,135,2128,211,26,20,0,146,9,5,0,1168,5,44,38,19,70,46,83,86,87,192,199,157,91,43,0,8,56274,705,140200
60032,49011125401,49,011,125401,5610,5289,1503,1424,79,2923,268,94,2,19,203,22,12,0,1513,36,19,42,34,47,91,53,73,137,186,226,340,108,60,36,25,61283,466,168000
60033,49011125403,49,011,125403,4171,3904,1121,1000,121,2078,274,50,18,7,117,16,0,0,1105,25,10,31,43,27,53,70,99,57,228,189,186,62,7,18,0,56456,433,154800
60034,49011125404,49,011,125404,6826,5799,1786,1488,298,3121,319,134,8,0,205,34,18,0,1795,28,33,37,75,66,88,211,103,137,323,249,284,124,29,0,8,54705,799,144200
60035,49011125501,49,011,125501,4859,4234,1439,1235,204,2576,217,71,0,6,112,49,9,9,1450,30,61,53,84,60,98,116,100,97,243,204,147,118,36,3,0,51204,615,125800
60036,49011125502,49,011,125502,4851,4030,1488,1260,228,2520,94,7,18,0,120,21,0,0,1483,51,107,71,70,96,148,129,102,86,260,170,125,36,14,18,0,42228,641,109800
60037,49011125503,49,011,125503,2937,2635,804,704,100,1377,106,32,6,0,99,15,0,0,787,10,40,11,46,24,93,73,68,49,69,165,104,24,6,5,0,47865,503,128200
60038,49011125600,49,011,125600,1265,584,55,13,42,124,6,0,0,0,11,0,0,0,59,3,4,6,7,0,16,10,7,0,6,0,0,0,0,0,0,33984,383,221400
60039,49011125700,49,011,125700,7357,5971,2612,1392,1220,3988,219,76,8,10,189,44,20,0,2592,240,155,179,181,286,203,201,224,171,294,208,163,54,6,22,5,36238,582,104200
60040,49011125801,49,011,125801,6589,5131,2231,1141,1090,3500,188,52,6,24,180,53,6,0,2232,93,119,119,117,195,177,170,188,134,271,309,237,89,0,0,14,43176,651,111800
