,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
55879,49003960100,49,003,960100,2435,667,2435,1179,34,140,533,313,72,70,667,50,45,34,23,24,16,30,39,30,32,41,14,42,35,31,28,14,17,38,32,30,16,4,0,30640,662,532,359,57100
55880,49003960200,49,003,960200,5387,1507,5387,2658,103,325,1043,674,183,278,1507,46,114,58,42,79,62,72,51,81,39,106,74,70,89,98,65,50,29,94,47,88,28,13,6,32618,1507,1294,345,60000
55881,49003960300,49,003,960300,4754,1484,4754,2466,94,297,954,636,122,267,1484,51,119,65,28,48,59,69,33,87,61,54,81,127,87,92,41,36,40,89,38,106,46,8,10,34599,1461,1126,321,61600
55882,49003960400,49,003,960400,4041,1141,4041,2026,105,381,717,479,117,174,1141,42,100,31,28,48,58,49,31,45,64,83,54,43,46,70,73,31,33,67,45,76,13,9,0,32244,1131,952,317,64300
55883,49003960500,49,003,960500,3957,1304,3957,2176,83,296,624,622,189,282,1304,59,129,21,40,79,49,66,45,73,60,83,53,54,78,93,35,39,50,33,60,61,37,0,0,30934,1290,921,322,61900
55884,49003960600,49,003,960600,6266,1892,6266,3429,115,304,859,950,232,679,1892,56,102,63,68,24,24,57,89,86,24,120,144,115,106,97,79,67,53,108,98,187,98,6,2,36935,1889,1527,383,70800
55885,49003960700,49,003,960700,5675,1879,5675,3192,134,462,976,869,117,453,1879,92,131,48,57,77,90,79,45,91,106,139,107,93,79,85,38,56,71,133,78,81,58,30,15,32221,1810,1302,358,65100
55886,49003960800,49,003,960800,3970,1186,3970,2104,80,202,731,574,98,306,1186,27,68,27,30,40,54,75,42,68,53,86,44,68,60,69,26,29,39,68,65,79,44,15,0,33807,1204,999,339,70700
55913,49011125101,49,011,125101,5059,1289,5059,2330,22,161,639,840,184,383,1289,16,26,21,22,37,28,49,48,49,36,61,54,73,65,99,60,52,55,150,70,130,73,4,4,41503,1262,1149,429,89300
55914,49011125102,49,011,125102,3069,820,3069,1606,9,114,303,538,111,347,820,0,17,8,24,11,16,25,12,28,35,31,24,38,18,13,30,6,12,63,44,119,96,78,13,54911,822,749,424,111300
55915,49011125200,49,011,125200,5372,1205,5372,2079,41,71,483,949,164,245,1205,0,6,59,108,210,154,128,117,58,67,56,62,39,18,14,20,14,7,17,13,19,19,0,0,21279,1197,0,381,0
55916,49011125301,49,011,125301,5115,1734,5115,2931,109,475,1095,814,159,209,1734,34,127,48,92,105,66,121,56,109,61,136,100,70,108,49,57,32,78,124,52,103,0,6,0,30882,1701,1198,420,54300
55917,49011125302,49,011,125302,8317,2084,8317,3806,41,299,1144,1329,373,537,2084,8,57,54,65,50,72,76,76,90,82,154,107,124,225,124,104,65,66,164,33,186,78,24,0,37800,2090,1841,513,63400
55918,49011125401,49,011,125401,3268,847,3268,1606,79,132,549,409,132,256,847,18,48,14,17,26,13,13,6,92,62,64,60,47,40,54,61,15,29,6,43,85,24,4,0,34604,846,771,391,75500
55919,49011125402,49,011,125402,5117,1255,5117,2328,10,201,790,787,204,275,1255,0,62,23,26,49,52,72,60,147,60,105,97,37,45,82,37,61,57,27,27,56,59,7,0,31821,1288,1062,400,61600
55920,49011125500,49,011,125500,10208,2918,10208,4785,98,489,1567,1518,428,556,2918,117,186,81,81,107,120,140,168,206,127,145,191,192,187,142,90,79,56,162,90,190,46,15,0,32172,2835,2213,423,64600
55921,49011125600,49,011,125600,1628,22,1628,46,10,0,0,14,0,22,22,0,14,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8040,32,0,360,0
55922,49011125700,49,011,125700,5965,2154,5965,3259,188,401,1256,1010,182,191,2154,161,235,133,147,85,89,147,87,171,133,138,106,85,81,72,44,5,16,31,33,75,56,24,0,24799,2154,1170,357,57200
55923,49011125801,49,011,125801,5764,1735,5764,2895,91,361,1032,903,197,268,1735,60,59,61,47,85,84,96,93,106,67,177,55,91,80,118,71,70,36,128,59,78,3,11,0,31547,1724,1062,425,59200
55924,49011125802,49,011,125802,9219,3653,9219,4935,151,631,1481,1532,356,547,3653,164,174,154,140,196,244,272,229,298,262,286,154,189,182,140,74,95,63,132,55,101,42,7,0,27127,3731,1749,375,64400
55925,49011125804,49,011,125804,5037,1282,5037,2425,7,63,417,841,238,645,1282,7,0,0,0,11,7,21,28,13,26,46,63,60,26,36,73,45,58,170,111,267,136,53,19,53373,1261,1193,787,94100
55926,49011125903,49,011,125903,8519,2488,8519,4313,122,361,1104,1512,297,605,2488,160,159,52,116,14,46,114,67,129,113,127,90,120,114,72,73,120,83,180,85,239,145,47,0,36187,2491,1887,353,73500
