,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,2989.0,2834.0,974.0,63833.0,206700.0,28121.0,693.0,206.0,1865.0,186.0,73.0,11.0,1.0,1384.0,29.0,308.0,850.0,124.0,949.0,30599.0,26.0,4.0,15.0,39.0,66.0,33.0,75.0,50.0,28.0,81.0,184.0,157.0,93.0,74.0,18.0,31.0,79.0,13.0,12.0,26.0,2.0,13.0,2.0,0.0,11.0,29.0,6.0,7.0,1400000US49003960100,49,003,960100,8.0,0.0,0.0,4.0,4.0,0.0,80.0,23.0,1.0,3.0,1.0,29.0,15.0,4.0,4.0,31.0,2.0,0.0,5.0,24.0,0.0,0.0,0.0,0.0,49003960100,158400.0,19316.0,813.0,375.0,46.0,2.0,4.0,4.0,20.0,10.0,0.0,2.0,4.0,21.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,27.0,14.0,0.0,5.0,2.0,4.0,0.0,0.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26714.0,49,003,960100
1,7947.0,6955.0,2461.0,67225.0,195200.0,11254.0,730.0,39.0,4537.0,818.0,171.0,22.0,18.0,2580.0,219.0,538.0,1995.0,466.0,809.0,30993.0,76.0,46.0,24.0,48.0,80.0,91.0,139.0,86.0,139.0,202.0,493.0,437.0,254.0,205.0,53.0,88.0,181.0,20.0,12.0,10.0,41.0,38.0,42.0,0.0,18.0,157.0,36.0,40.0,1400000US49003960200,49,003,960200,15.0,11.0,11.0,19.0,3.0,22.0,54.0,31.0,3.0,6.0,5.0,0.0,6.0,0.0,3.0,31.0,7.0,13.0,2.0,0.0,0.0,0.0,0.0,9.0,49003960200,168200.0,8658.0,629.0,116.0,154.0,28.0,15.0,24.0,39.0,20.0,28.0,0.0,0.0,154.0,61.0,5.0,47.0,3.0,25.0,0.0,0.0,13.0,61.0,25.0,4.0,8.0,10.0,4.0,7.0,3.0,0.0,30.0,11.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0,25494.0,49,003,960200
2,8810.0,6960.0,2681.0,49552.0,160500.0,15100.0,735.0,81.0,4252.0,564.0,279.0,11.0,4.0,2799.0,154.0,304.0,1876.0,805.0,903.0,26011.0,78.0,74.0,166.0,168.0,142.0,237.0,104.0,105.0,283.0,310.0,320.0,420.0,136.0,78.0,60.0,0.0,207.0,107.0,4.0,29.0,15.0,0.0,0.0,19.0,33.0,209.0,80.0,24.0,1400000US49003960300,49,003,960300,21.0,67.0,15.0,2.0,0.0,0.0,166.0,17.0,25.0,105.0,0.0,2.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,49003960300,152100.0,8751.0,620.0,45.0,306.0,59.0,34.0,51.0,20.0,121.0,21.0,0.0,0.0,96.0,52.0,0.0,0.0,3.0,12.0,8.0,0.0,21.0,259.0,77.0,0.0,57.0,2.0,40.0,0.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26655.0,49,003,960300
3,4551.0,4198.0,1535.0,64648.0,197000.0,14793.0,742.0,297.0,2929.0,486.0,69.0,7.0,4.0,1673.0,93.0,331.0,1357.0,178.0,1018.0,32488.0,27.0,25.0,19.0,50.0,39.0,50.0,44.0,75.0,161.0,225.0,167.0,220.0,231.0,74.0,85.0,43.0,104.0,14.0,16.0,4.0,35.0,27.0,0.0,1.0,7.0,55.0,14.0,4.0,1400000US49003960400,49,003,960400,10.0,10.0,6.0,0.0,0.0,11.0,58.0,3.0,4.0,16.0,25.0,0.0,6.0,0.0,4.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,49003960400,182900.0,12919.0,644.0,212.0,54.0,14.0,7.0,18.0,2.0,1.0,0.0,0.0,12.0,58.0,8.0,0.0,23.0,0.0,23.0,0.0,0.0,4.0,52.0,13.0,6.0,5.0,6.0,7.0,0.0,0.0,15.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29167.0,49,003,960400
4,5423.0,4514.0,1784.0,54043.0,175200.0,8360.0,647.0,79.0,3231.0,476.0,118.0,26.0,20.0,1915.0,210.0,323.0,1226.0,558.0,715.0,26354.0,86.0,110.0,50.0,101.0,73.0,91.0,113.0,91.0,100.0,144.0,218.0,293.0,122.0,32.0,99.0,61.0,522.0,148.0,61.0,88.0,41.0,133.0,22.0,3.0,26.0,150.0,42.0,9.0,1400000US49003960500,49,003,960500,10.0,30.0,43.0,16.0,0.0,0.0,58.0,21.0,0.0,0.0,19.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960500,167300.0,9421.0,561.0,53.0,275.0,130.0,2.0,38.0,53.0,30.0,22.0,0.0,0.0,194.0,97.0,12.0,12.0,33.0,18.0,11.0,0.0,11.0,34.0,1.0,4.0,1.0,13.0,0.0,15.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26837.0,49,003,960500
5,3612.0,3493.0,1356.0,52500.0,155100.0,9292.0,695.0,95.0,2438.0,389.0,101.0,20.0,0.0,1438.0,94.0,267.0,968.0,388.0,781.0,26635.0,135.0,15.0,37.0,82.0,62.0,58.0,153.0,108.0,12.0,144.0,162.0,186.0,95.0,59.0,31.0,17.0,97.0,31.0,21.0,0.0,3.0,9.0,22.0,11.0,0.0,28.0,7.0,10.0,1400000US49003960601,49,003,960601,0.0,0.0,0.0,11.0,0.0,0.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,49003960601,141600.0,6581.0,650.0,135.0,202.0,20.0,36.0,38.0,29.0,65.0,14.0,0.0,0.0,72.0,41.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,59.0,35.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,24205.0,49,003,960601
6,2456.0,2129.0,871.0,66094.0,212400.0,12981.0,685.0,175.0,1628.0,429.0,147.0,30.0,5.0,918.0,12.0,0.0,742.0,129.0,941.0,31797.0,14.0,23.0,19.0,19.0,42.0,28.0,69.0,30.0,25.0,137.0,80.0,148.0,92.0,61.0,53.0,31.0,43.0,8.0,0.0,8.0,0.0,21.0,0.0,0.0,6.0,30.0,8.0,0.0,1400000US49003960602,49,003,960602,3.0,0.0,14.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960602,192600.0,9264.0,711.0,251.0,79.0,35.0,8.0,17.0,3.0,16.0,0.0,0.0,0.0,71.0,17.0,10.0,20.0,14.0,6.0,0.0,0.0,4.0,37.0,13.0,1.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22378.0,49,003,960602
7,5063.0,4075.0,1779.0,52634.0,163500.0,5258.0,813.0,92.0,3145.0,473.0,162.0,28.0,20.0,1856.0,62.0,187.0,1201.0,578.0,822.0,26778.0,31.0,43.0,35.0,59.0,116.0,146.0,104.0,197.0,125.0,202.0,239.0,204.0,103.0,58.0,117.0,0.0,304.0,103.0,0.0,52.0,46.0,24.0,17.0,9.0,53.0,189.0,50.0,10.0,1400000US49003960701,49,003,960701,44.0,27.0,30.0,28.0,0.0,0.0,89.0,14.0,12.0,33.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960701,147900.0,7408.0,616.0,197.0,382.0,115.0,12.0,68.0,52.0,113.0,1.0,21.0,0.0,34.0,2.0,0.0,12.0,0.0,0.0,20.0,0.0,0.0,87.0,33.0,12.0,0.0,9.0,0.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23360.0,49,003,960701
8,2851.0,2305.0,1051.0,40313.0,171800.0,13267.0,658.0,47.0,1662.0,306.0,90.0,25.0,10.0,1097.0,55.0,164.0,491.0,560.0,713.0,24361.0,117.0,73.0,57.0,54.0,81.0,67.0,73.0,39.0,58.0,71.0,87.0,99.0,75.0,54.0,27.0,19.0,213.0,72.0,18.0,5.0,45.0,32.0,16.0,0.0,25.0,77.0,35.0,6.0,1400000US49003960702,49,003,960702,25.0,6.0,0.0,0.0,0.0,5.0,51.0,27.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49003960702,150200.0,13239.0,616.0,42.0,112.0,26.0,9.0,47.0,16.0,10.0,0.0,4.0,0.0,71.0,38.0,13.0,0.0,7.0,13.0,0.0,0.0,0.0,42.0,24.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25906.0,49,003,960702
9,4532.0,4236.0,1495.0,77042.0,258300.0,14772.0,815.0,178.0,2899.0,505.0,160.0,8.0,31.0,1586.0,36.0,199.0,1316.0,179.0,1194.0,31318.0,16.0,32.0,51.0,28.0,110.0,69.0,74.0,48.0,61.0,103.0,131.0,231.0,183.0,187.0,101.0,70.0,52.0,4.0,3.0,0.0,9.0,7.0,13.0,9.0,7.0,344.0,38.0,49.0,1400000US49003960801,49,003,960801,45.0,54.0,22.0,70.0,8.0,58.0,76.0,42.0,4.0,2.0,10.0,2.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,49003960801,192500.0,8964.0,664.0,174.0,59.0,25.0,8.0,0.0,18.0,0.0,5.0,3.0,0.0,76.0,15.0,7.0,31.0,6.0,0.0,13.0,0.0,4.0,28.0,11.0,0.0,0.0,10.0,0.0,3.0,0.0,4.0,40.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27454.0,49,003,960801
